ID;Name;Birthday;Films
1978;Jim Varney;1949-06-15;[[862, Slinky Dog (voice)], [863, Slinky Dog (voice)]]
1979;Annie Potts;1952-10-28;[[862, Bo Peep (voice)], [863, Bo Peep (voice)]]
1980;Wayne Knight;1955-08-07;[[13056, Micro], [9896, Zack Mallozzi], [2300, Stan Podolak], [577, Ed Grant], [863, Al McWhiggin (voice)]]
1981;Ethan Suplee;1976-05-25;[[73, Seth Ryan], [4133, Tuna], [2255, Fan], [41730, Cale], [8470, Guard Max Conlin], [1954, Thumper], [1381, Manny], [44048, Dewey]]
1982;Kevin Corrigan;1969-03-27;[[7301, Tim], [14662, Eliot Arenson], [80468, Ken Boyd], [8363, Mark], [139998, Adrian], [1422, Cousin Sean], [44048, Inspector Werner], [49963, Bill]]
1983;Kevin Chapman;1962-07-29;[[226458, Greer], [1901, Lou], [11128, Frank Mckinny], [322, Val Savage], [13090, Carl Swanson], [44048, Bunny]]
1984;Lew Temple;1967-10-02;[[199933, Ellis Wyatt], [10781, Sheriff Winston Hoyt], [44048, Ned], [10758, Cal], [256740, Donny]]
1985;Jessy Schram;1986-01-15;[[13066, Fake Daughter], [44048, Darcy]]
1986;David Warshofsky;1970-01-01;[[109424, Mike Perry], [4421, Sergeant Johns], [260346, Bernie (Harris)], [44048, Judd Stewart]]
1987;Zhang Ziyi;1979-02-09;[[844, Bai Ling], [146, Jen Yu (Mandarin) / Jiao Long (English)], [79, Moon], [9550, Xiao Mei], [1904, Sayuri], [220488, Sophie], [5175, Hu Li], [1273, Karai (voice)], [44865, Gong Ruomei/Gong Er]]
1988;Roselyn Snchez;1973-04-02;[[75674, Lisa Morales], [10782, Nunez], [9557, Gabriella], [24621, Lorena], [19489, Trina], [5175, Isabella Molina], [13680, Monique Vasquez], [19803, Karen Lopez]]
1989;Ernie Reyes, Jr.;1972-01-15;[[9626, Prince Tarn], [5175, Zing], [1497, Keno], [13938, Tai], [10159, Manito]]
1990;John Lone;1952-10-13;[[5175, Ricky Tan], [746, Puyi], [8850, Shiwan Khan], [10431, Li Chang]]
1991;Alan King;1973-02-05;[[524, Andy Stone], [5175, Steve Reign], [57022, Murray Silver]]
1992;Harris Yulin;1970-01-01;[[13496, Thaddeus Rains, President Rock Northern Rail Road], [9331, James Cutter], [18615, David Nemerov], [9304, Leeds], [5175, Agent Sterling], [111, Mel Bernstein], [10400, Leon Friedman], [97367, Al Cross], [2034, Doug Rosselli]]
1993;Diana Scarwid;1970-01-01;[[9582, Sandra Cooper], [60422, Donna], [15660, Christina Crawford], [1415, Elke], [116584, Natalie Walsh], [2655, Jody]]
1994;Wendy Crewson;1970-01-01;[[9772, Grace Marshall], [125490, Mira Tesser], [2277, ""'Ma'am' Martin""], [9036, Eve McClaren], [264644, Talk Show Host], [8452, Natalie], [9954, Evelyn Danvers], [11395, Laura Calvin Miller], [9021, Laura Calvin Miller], [72570, Dr. Fishman], [2655, Elena], [75033, Mary Botha]]
1995;Amber Valletta;1974-02-09;[[7288, Cline], [18501, Angie], [8488, Allegra Cole], [5994, Paula], [23172, Gillian], [9335, Audrey Billings], [2655, Madison Elizabeth Frank]]
1996;Victoria Bidewell;1970-01-01;[[2655, Beatrice]]
1997;Anna Faris;1976-11-29;[[55301, Jeanette (voice)], [258509, Jeanette (voice)], [23398, Jeanette (voice)], [142, LaShawn], [22794, Sam Sparks (voice)], [109451, Sam Sparks (voice)], [153, Kelly], [10894, Polly], [87818, Vanessa (segment ""The Proposition"")], [4474, Hannah], [16991, Brandi], [4248, Cindy Campbell], [4256, Cindy Campbell], [4257, Cindy], [50725, Wendy Franklin], [76493, Zoey], [12620, Shelley], [7553, Serena], [63492, Ally Darling], [41515, Rachel]]
1998;Mr. T;1952-05-21;[[22794, Earl Devereaux (voice)]]
1999;Al Roker;1954-08-20;[[22794, Patrick Patrickson (voice)]]
2000;Andy Samberg;1978-08-18;[[84184, Jesse Abrams], [22794, ""'Baby' Brent (voice)""], [109451, Baby Brent (voice)], [10074, Rod Kimble], [76492, Jonathan (voice)], [159824, Jonathan (voice)], [16538, Robbie Klaven], [11802, Ham III (voice)], [87428, Todd Peterson], [129139, Van King]]
2001;Ethan Juan;1970-01-01;[[8355, ??/??], [253450, Xia Jing]]
2002;Karen Disher;1970-01-01;[[8355, Scratte (voice)]]
2003;Shirley MacLaine;1934-04-24;[[92591, Marjorie Nugent], [268171, Elsa Hayes], [40001, Grace Winterbourne], [42618, Charity], [284, Fran Kubelik], [116745, Edna Mitty], [11219, Jennifer Rogers]]
2004;Adam Scott;1973-04-03;[[84174, Clyde Goddard], [261023, FBI Agent Robert Fitzpatrick], [11560, 1st Lt. Terence Embry], [243938, Adam Jr.], [287903, Tom Engel], [25195, Jeremy], [51384, Mike], [4379, Remy], [59968, Jeremy Horne], [43593, Novak Radzinsky], [12133, Derek], [82687, Andrew Margolis Jr.], [9515, Phil Garrison], [116745, Ted Hendricks], [10718, FBI Agent McPherson]]
2005;Sean Penn;1960-08-17;[[470, Paul Rivers], [1717, Willie Stark], [492, Himself (uncredited)], [687, Matthew Poncelet], [1282, Narrator], [38363, Joseph Wilson], [13342, Jeff Spicoli], [82682, Mickey Cohen], [10950, Sam Dawson], [10139, Harvey Milk], [322, Jimmy Markum], [58048, Glendon Wasey], [153518, Terence (voice)], [2649, Conrad Van Orton], [266396, Terrier], [179, Tobin Keller], [116745, ""Sean O'Connell""], [8741, 1st Sgt. Edward Welsh], [8967, Jack], [5971, Jim], [8944, Himself]]
2006;Terence Bernie Hines;1970-01-01;[[116745, Gary Mannheim]]
2007;Gurdeep Singh;1970-01-01;[[116745, Cab Driver]]
2008;Alex Anfanger;1970-01-01;[[116745, ""Ted's Toner Box Associate""], [362765, Kyle]]
2009;John Forsythe;1918-01-29;[[4327, Charles Townsend], [18900, Alvin Dewey], [9647, Lew Hayward], [11219, Sam Marlowe], [2370, Michael Nordstrom]]
2010;Kelly Lynch;1959-01-31;[[4327, Vivian Wood], [12312, Callie Scheffer], [10135, Dr. Elizabeth Clay], [9667, Jean Price], [21801, Evangeline Chutney], [9271, Madison Carter]]
2011;Tim Curry;1946-04-19;[[49953, Fluffy (voice)], [4327, Roger Corwin], [10329, Herkermer Homolka], [9513, Prince (voice)], [11184, Thurman Rice], [9644, Mr. Jigsaw], [20694, Nigel Thornberry], [4248, Prof. Oldman], [14444, Rex Pester (voice)], [8850, Farley Claymore], [14317, Nigel Thornberry (voice)], [14175, Von Talon (voice)]]
2012;Vera Farmiga;1973-08-06;[[2749, Dahpne Handlova], [10641, Lisa Tyler], [137347, Alice Bercovich], [50875, Corinne Walker], [21208, Kate Coleman], [7304, Teresa Gazelle], [59961, Catherine Linklater], [45612, Colleen Goodwin], [14574, Elsa Hoess], [138843, Lorraine Warren], [259693, Lorraine Warren], [1422, Dr. Madolyn Madden], [205587, ""Samantha 'Sam' Powell""], [14462, Jocelyne Jordan], [22947, Alex Goran]]
2013;Lea Salonga;1971-02-22;[[10674, Mulan (singing voice)]]
2014;June Foray;1917-09-18;[[10674, Grandmother Fa (voice)], [17711, ""Rocky / Cartoon Natasha Fatale / Narrator's Mother""]]
2015;Soon-Tek Oh;1943-06-29;[[10674, Fa Zhou (voice)], [682, Lieutenant Hip]]
2016;Freda Foh Shen;1970-01-01;[[10674, Fa Li (voice)]]
2017;Donny Osmond;1957-12-09;[[10674, Shang (singing voice)]]
2018;Brandon Soo Hoo;1970-01-01;[[7446, Tran]]
2019;Goran Visnjic;1972-09-09;[[55347, Andy], [9947, Mark Miller], [425, Soto (voice)], [6435, Jimmy Angelov], [10220, Maurice], [109091, Banker], [65754, Dragan Armansky], [6623, Bazta Sergeant]]
2020;Graham Greene;1952-06-22;[[10914, Jim Burns], [581, Kicking Bird], [1572, Joe Lambert], [43090, Two Dogs], [11888, Peter Yellowbear], [497, Arlen Bitterbuck], [546, Calvin], [356483, Buffalo], [137321, Humpstone John]]
2021;Larry Bryggman;1970-01-01;[[1572, Chief Cobb], [1535, Troy Folger]]
2022;Anthony Peck;1970-01-01;[[1572, Ricky Walsh]]
2023;Nicholas Wyman;1970-01-01;[[1572, Targo]]
2024;Sam Phillips;1970-01-01;[[1572, Katya]]
2025;Kevin Chamberlin;1963-11-25;[[1572, Charles Weiss], [186, Marty], [4147, Frank the Bouncer], [8080, Harold Speck]]
2026;Rachel McAdams;1978-11-17;[[157849, Annabel Richter], [122906, Mary], [222936, Tracy Woodside], [8060, Kay Nesbitt], [10625, Regina George], [59436, Inez], [38357, Becky Fuller], [11460, Lisa Reisert], [10528, Irene Adler], [307081, Maureen Hope], [314365, Sacha Pfeiffer], [16995, Della Frye], [9043, Amy Stone], [309809, The Mother (voice)], [16005, Colee Dunn], [11036, Allie Hamilton], [24420, Clare Abshire], [72570, Paige Collins]]
2027;Hans Matheson;1970-01-01;[[15208, Caravaggio], [10528, Lord Coward], [226354, David Richmond]]
2028;Jack Huston;1982-12-07;[[168672, Pete Musane], [271969, Judah Ben-Hur], [12271, Gerard Malanga], [58431, George Wickham], [228205, Young Ira]]
2029;Nazanin Boniadi;1980-05-22;[[271969, Esther], [266102, Parisa Ghaffarian], [43539, Elaine]]
2030;Pilou Asb?k;1970-01-01;[[271969, Pontius Pilate], [240832, Richard]]
2031;Sofia Black-D'Elia;1970-01-01;[[271969, Tirzah Ben-Hur], [299552, Mina], [227719, Jessie Pierce], [152599, Not Magda]]
2032;Marwan Kenzari;1970-01-01;[[271969, Druses]]
2033;Corey Burton;1970-01-01;[[812, Prince Achmed (voice)], [10865, ""Gaetan 'The Mole' Moliere (voice)""], [16690, Captain Hook (voice)], [16690, Wendy Darling (voice)], [333355, Count Dooku / San Hill]]
2034;Claudia Christian;1970-01-01;[[10865, Helga Katrina Sinclair (voice)], [10167, Special Agent Ellen Williams]]
2035;James Garner;1928-04-07;[[10865, Commander Lyle Tiberius Rourke (voice)], [9583, ""Shepard James 'Shep' Walker""], [17795, President Matt Douglas], [5551, Tank Sullivan], [5925, Flight Lt. Hendley], [11036, Duke], [14624, ""Howard 'Red' Stevens""]]
2036;John Mahoney;1940-06-20;[[8916, Grebs / Drunk Scout / Additional Voices (voice)], [10865, Preston B. Whitmore (voice)], [43949, Chet Duncan], [11363, Mr. Fitzpatrick], [22597, Jack], [11934, Chief], [10386, General Rogard (voice)]]
2037;Phil Morris;1970-01-01;[[10865, Dr. Joshua Strongbear Sweet (voice)]]
2038;Don Novello;1943-01-01;[[10865, ""Vincenzo 'Vinny' Santorini (voice)""], [78381, Melvin]]
2039;Jacqueline Obradors;1970-01-01;[[8409, Stacy Vetter], [10865, Audrey Rocio Ramirez (voice)], [10402, Elaine Fowler], [6068, Angelica]]
2040;Florence Stanley;1970-01-01;[[10865, Wilhelmina Bertha Packard (voice)]]
2041;Bella Thorne;1997-10-08;[[218778, Celia], [258509, Ashley Grey], [232672, Hilary], [272693, Madison Morgan]]
2042;Matthew Gray Gubler;1980-03-09;[[19913, Paul], [6477, Simon (voice)], [55301, Simon (voice)], [258509, Simon (voice)], [23398, Simon (voice)]]
2043;Jesse McCartney;1987-04-09;[[6477, Theodore (voice)], [55301, Theodore (voice)], [258509, Theodore (voice)], [23398, Theodore (voice)], [93856, Chris]]
2044;Kaley Cuoco;1985-11-30;[[258509, Eleanor (voice)], [50359, ""Samantha O'Hare""]]
2045;Kimberly Williams-Paisley;1971-09-14;[[258509, Samantha]]
2046;Christina Applegate;1971-11-25;[[55301, Brittany (voice)], [258509, Brittany (voice)], [23398, Brittany (voice)], [109443, Veronica Corningstone], [8699, Veronica Corningstone], [376659, Gwendolyn James], [39691, Catherine (voice)], [12486, Melissa (voice)], [38073, Corrine Berlin], [16433, Barbara], [48988, Grace Searing], [56715, Rosalind / Julia], [9448, Pam Shulman], [228326, Mary Beth (voice)], [10186, Kim], [11812, Courtney Rockcliffe], [296099, Debbie Griswold], [4997, Susan Launius]]
2047;Laura Marano;1995-11-29;[[258509, Hotel Babysitter]]
2048;Carice van Houten;1976-09-05;[[9075, Rachel Stein / Ellis de Vries], [323677, Leni Riefenstahl], [31867, Carol], [162903, Birgitta Jonsdottir], [2253, Nina Schenk Grfin von Stauffenberg]]
2049;Terence Stamp;1938-07-22;[[87093, John Canaday], [11353, Terry Stricter], [9947, Stick], [11665, Siegfried], [9930, Victor Taft], [2830, Jack Taylor], [8870, Dr. Bud Chantilas], [14877, Brigham Young], [38050, Thompson], [10756, Ramsley], [10388, Wilson], [52010, Severus (voice)], [2253, Ludwig Beck], [10673, Sir Larry Wildman], [8909, Pekwarsky], [11967, John Tunstall]]
2050;David Bamber;1970-01-01;[[340816, Walt], [13967, Fruing Warne], [2253, Adolf Hitler]]
2051;Adam Sandler;1966-09-09;[[1824, Henry Roth], [10202, Skeeter Bronson], [9032, Sonny Koufax], [232672, Jim], [9339, Michael Newman], [20829, George Simmons], [38365, Lenny Feder], [109418, Lenny Feder], [9614, Happy Gilmore], [76492, Dracula (voice)], [159824, Dracula (voice)], [71880, Jack / Jill], [50546, Danny Maccabee], [9678, Nicky], [2022, Longfellow Deeds], [257344, Sam Brenner], [8051, Barry Egan], [2355, Charlie Fineman], [2539, John Clasky], [87428, Donny Berger], [11090, Townie], [9291, Paul Crewe], [347969, Tommy aka White Knife], [10663, Bobby Boucher], [284296, Adam Sandler], [10661, Zohan], [38317, Monkey (voice)]]
2052;Emmanuelle Chriqui;1977-12-10;[[50601, Tatia], [14299, Revetta Chess], [9781, Barbara], [34043, Abbey], [27023, Tasty D Lite], [15489, Claire Bonner], [9902, Carly], [10661, Dalia]]
2053;Lainie Kazan;1940-05-15;[[8046, Mother], [8346, Maria Portokalos], [302688, Maria], [9448, Jeanne Shulman], [19150, Pepper Lowenstein], [10661, Gail]]
2054;Daoud Heidami;1970-01-01;[[10661, Nasi]]
2055;Dave Matthews;1967-01-09;[[17880, Otis], [50546, Ian Maxtone Jones], [10661, James]]
2056;Charlotte Rae;1926-04-22;[[11302, Mrs. Mellish], [10661, Mrs. Greenhouse]]
2057;Michael Buffer;1944-11-02;[[13778, Himself], [10661, Walbridge]]
2058;Rob Schneider;1963-10-31;[[1824, Ula], [9032, Delivery Guy], [11453, Deuce Bigalow], [10402, Deuce Bigalow], [38365, Rob Hilliard], [283671, Chuy (voice)], [37498, Tommy Hendricks], [10208, TV Producer], [18975, Volpe], [11090, Marvin Mange], [9957, Gus], [347969, Ramon], [10661, Salim]]
2059;Kevin James;1965-04-26;[[9907, Otis the Cow (voice)], [38365, Eric Lamonsoff], [109418, Eric Lamonsoff], [87826, Scott Voss], [8488, Albert Brennaman], [76492, Frank / Frankenstein (voice)], [159824, Frank / Frankenstein (voice)], [14560, Paul Blart], [256961, Paul Blart], [257344, President Will Cooper], [44564, Nick Brannen], [38317, Griffin Keyes]]
2060;Ashley Benson;1989-12-18;[[257344, Lady Lisa], [122081, Brit]]
2061;Jane Krakowski;1968-10-11;[[8849, Dorie], [10998, Babysitter], [8359, Nurse], [32316, Lauren Farb], [40001, Christine], [7484, Giselle (voice)], [257344, Carolyn Cooper], [889, ""Betty O'Shale""]]
2062;Matthew Lintz;1970-01-01;[[257344, Matty]]
2063;Haley Joel Osment;1988-04-10;[[644, David], [3587, Albert], [13, Forrest Gump Jr.], [10647, Trevor McKinney], [13156, Walter], [18357, Beary Barrington (voice)], [14873, Mowgli (voice)], [745, Cole Sear], [246403, Teddy], [290825, Adrien Arcand]]
2064;Sam Robards;1961-12-16;[[644, Henry Swinton], [14, Jim Berkley], [13483, Clayton Beresford Sr.], [20483, Tom Phillips], [11457, David Dokos]]
2065;Jake Thomas;1990-01-30;[[644, Martin Swinton], [18736, Matt McGuire]]
2066;Meryl Streep;1949-06-22;[[9526, Yolanda Johnson], [644, Blue Mecha (voice)], [2757, Susan Orlean], [152737, Violet Weston], [9374, Madeline Ashton], [14359, Sister Aloysius Beauvier], [10315, Mrs. Fox (voice)], [315664, Florence Foster Jenkins], [82696, Kay], [224141, Witch], [22897, Jane Adler], [42222, Anne Marie], [24803, Julia Child], [4515, Janine Roth], [11631, Donna Sheridan], [9819, Lee], [53113, Kate Gulden], [606, Karen Christence Dinesen Blixen], [5125, Corrine Whitman], [9906, Queen], [688, Francesca Johnson], [11778, Linda], [350, Miranda Priestly], [227156, Chief Elder], [264656, Altha Carter], [590, Clarissa Vaughan], [71688, Margaret Thatcher], [14462, Senator Eleanor Prentiss Shaw (D-VA)], [8987, Gail Hartman]]
2067;Nathaniel Parker;1970-01-01;[[10756, Master Gracey], [66195, Det. Morton]]
2068;Marsha Thomason;1976-01-19;[[11469, Victoria the Chambermaid / Nicole], [10756, Sara Evers]]
2069;Dina Spybey-Waters;1970-01-01;[[10330, Dottie Robertson], [15186, Third Fired Employee], [75531, Bambi Madison], [9007, Abby Brody], [10756, Emma]]
2070;Marc John Jefferies;1990-05-16;[[38322, Rembrandt], [10060, Young Marcus], [328387, Wes], [10756, Megan]]
2071;Jim Doughan;1970-01-01;[[10756, Mr. Coleman]]
2072;Tom Skerritt;1933-08-25;[[348, Arthur Dallas], [686, David Drumlin], [10306, Bruce Gardner], [74457, Santa], [9567, Captain Bill Rhodes], [13503, Richard Dukes], [11336, Sheriff George Bannerman], [744, Viper], [22787, Dr. John Fury]]
2073;David Morse;1953-10-11;[[2207, Frank Nugent], [321741, Mike Webster], [686, Ted Arroway], [31306, Dove Bullis], [16, Bill Houston], [8271, Robert Turner], [7870, Wade], [12920, Palmer], [47327, Webster], [11306, FBI Agent Frank Hare], [11313, Adult Bobby Garfield], [37080, Tom], [11983, Peter Bowman], [497, Brutus ""Brutal"" Howell], [12162, Col. Reed], [11412, Luke / Daedalus], [9631, Cdr. Adam Beck], [9802, Major Tom Baxter], [21801, ""Gideon 'Gid' Ferguson""]]
2074;Angela Bassett;1958-08-16;[[13751, Tanya], [175541, Aretha Cobbs], [650, Reva Devereaux], [686, Rachel Constantine], [33644, Stella Payne], [267860, Lynne Jacobs], [1883, Dr. Betty Shabazz], [24356, Mistress], [16232, Maureen ""Mo"" Simmons], [117263, Lynne Jacobs], [57022, Desiree Perry], [10384, Dr. Kaela Evers], [334074, Maureen Cranepaul], [11371, Diane], [59962, Collins], [12158, Detective Rita Veder], [15765, Anna Mae Bullock / Tina Turner]]
2075;Geoffrey Blake;1970-01-01;[[686, Fisher], [9822, Vern]]
2076;Elisabeth Shue;1963-10-06;[[165, Jennifer Parker / Jennifer McFly], [196, Jennifer Parker], [82684, Christy Moriarity], [2639, Fay], [35689, Sonny], [12920, Lily], [15568, Lindsay Bowen], [11096, Elizabeth], [9383, Linda McKay], [82505, Sarah Cassidy], [451, Sera], [44857, Molly McKay], [43593, Julie Forester], [1885, Ali Mills], [10003, Emma Russell]]
2077;Kim Dickens;1965-06-18;[[210577, Detective Rhonda Boney], [9383, Sarah Kennedy], [11093, Carol Burdon], [8838, Stacey], [22881, Mrs. Boswell], [16148, Gloria Sullivan]]
2078;Rhona Mitra;1976-08-09;[[13460, Major Eden Sinclair], [10461, Geraldine], [9383, ""Sebastian's Neighbor""], [7485, Alourdes Galindo], [11529, Tabatha Wadmore-Smith], [11615, Berlin], [3594, Laura Tollins], [12437, Sonja]]
2079;Greg Grunberg;1966-07-11;[[9383, Carter Abbey], [300706, Bruce]]
2080;Joey Slotnick;1970-01-01;[[11622, Soda Jerk], [9383, Frank Chase]]
2081;Mary Randle;1970-01-01;[[9383, Janice Walton]]
2082;William Devane;1937-09-05;[[5854, Adamson], [9383, Dr. Howard Kramer], [2112, Carter], [5551, Eugene Davis]]
2083;Pablo Espinosa;1970-01-01;[[9383, Ed, Warehouse Guard]]
2084;Earl Cameron;1970-01-01;[[179, Dr. Zuwanie]]
2085;George Harris;1943-02-25;[[46849, Daniel], [4836, Morty], [179, Kuman-Kuman]]
2086;Michael Wright;1956-04-30;[[39349, Raynathan Skuggs], [179, Marcus]]
2087;Clyde Kusatsu;1970-01-01;[[58048, Joe Go], [2610, Mr. Agasa], [179, Police Chief Lee Wu]]
2088;Eric Keenleyside;1970-01-01;[[179, Rory Robb]]
2089;Douglas Smith;1970-01-01;[[125490, Edward Porris], [242512, Pete], [76285, Tyson], [166624, Mica]]
2090;Leven Rambin;1990-05-17;[[82684, Kim], [76285, Clarisse La Rue], [323967, Kendall]]
2091;Grey Damon;1970-01-01;[[76285, Chris Rodriguez]]
2092;Paloma Kwiatkowski;1970-01-01;[[76285, Thalia Grace]]
2093;Anthony Stewart Head;1970-01-01;[[71676, Benedict], [76285, Chiron], [14353, Nathan Wallace / Repo Man], [71688, Geoffrey Howe]]
2094;Til Schweiger;1963-12-19;[[11453, Heinz Hummer], [10477, Beau Brandenburg], [16869, Sergeant Hugo Stiglitz], [1996, Sean], [11702, Ryker], [59962, Heinrich]]
2095;Simon Yam;1955-03-19;[[13807, Boss Fay], [1996, Chen Lo]]
2096;Daniel Caltagirone;1970-01-01;[[1996, Nicholas Petraki], [9093, Gustave]]
2097;Fabiano Martell;1970-01-01;[[1996, Jimmy Petraki]]
2098;Robert Cavanah;1970-01-01;[[1996, MI6 Agent Stevens]]
2099;Ronan Vibert;1970-01-01;[[49017, Simion], [1996, MI6 Agent Calloway], [10873, Wolfgang Mller]]
2100;Dave Franco;1985-06-12;[[64688, Eric Molson], [187017, Eric Molson], [37950, Sully], [58151, Mark], [195589, Pete Regazolli], [325133, Pete Regazolli], [328387, Ian], [75656, Jack Wilder], [291805, Jack Wilder], [239573, Mike Pancake], [82654, Perry Kelvin]]
2101;Lizzy Caplan;1982-06-30;[[44115, Sonja Ralston], [84174, Gena Myers], [7191, Marlena], [89857, Sheila], [23048, April], [10625, Janis Ian], [13596, Ami], [291805, Lula], [228967, Agent Lacey]]
2102;Henry Lloyd-Hughes;1970-01-01;[[291805, Allen Scott-Frank]]
2103;Henry Goodman;1970-01-01;[[26320, Jake Teichberg], [21641, Manny Cossins], [10003, Dr. Lev Botvin]]
2104;Michael Byrne;1970-01-01;[[5491, Parson Staffer], [6478, Dr. Andretti], [17339, Schroeder], [89, Vogel], [10003, ""Vereshagin, Tretiak's Aide""]]
2105;Yevgeni Lazarev;1970-01-01;[[1830, General Dmitri Orlov], [10003, President Karpov]]
2106;Irina Apeksimova;1970-01-01;[[10003, Frankie]]
2107;Lev Prygunov;1970-01-01;[[10003, General Sklarov]]
2108;Charlotte Cornwell;1970-01-01;[[10003, Inspector Rabineau]]
2109;Catherine McCormack;1972-04-03;[[1562, Alice], [10077, Sonia Rand], [197, Murron MacClannough], [9389, Bislane Tasuiev], [10873, Greta Schrder], [1535, Elizabeth Hadley], [17044, Stella], [2575, Francesca Deane]]
2110;Stephen Dillane;1956-11-30;[[161795, Sean], [9763, Glen Foy], [10822, Brooks Baekeland], [1535, Charles Harker], [15487, Harry Vardon], [590, Leonard Woolf]]
2111;Matthew Marsh;1970-01-01;[[10008, James Johnston], [3132, Dragan Adjanic], [1535, Dr. William Byars]]
2112;Todd Boyce;1970-01-01;[[9664, Mr. Jensen], [1535, Robert Aiken]]
2113;Michael Paul Chan;1970-01-01;[[24356, Guard], [44857, Domingo], [1535, Vincent Vy Ngo]]
2114;Garrick Hagon;1970-01-01;[[1535, CIA Director Cy Wilson]]
2115;Gary Sinise;1955-03-17;[[8744, Milo], [568, Ken Mattingly], [13, Lt. Dan Taylor], [4965, Spencer Olham], [2067, Jim McConnell], [7484, Shaw (voice)], [3595, Det. Jimmy Shaker], [2155, Gabriel Mercer], [8688, Commander Kevin Dunne], [12634, Ray Ritchie]]
2116;Jerry O'Connell;1974-02-17;[[9390, Frank Cushman], [10628, Charlie Carbone], [2067, Phil Ohlmyer], [43593, Derrick Jones], [4258, Christian Grey], [4233, Derek], [235, Vern Tessio], [10646, Michael Delaney jack]]
2117;Peter Outerbridge;1970-01-01;[[864, Josef Grool], [186, Dumbrowski], [34341, James Lennox], [2067, Sergei Kirov], [22804, William]]
2118;Kavan Smith;1970-05-06;[[2067, Nicholas Willis]]
2119;Jill Teed;1970-01-01;[[2067, Reene Cote]]
2120;Elise Neal;1966-03-14;[[28353, Nadine], [10476, Yevette], [39845, Alana], [2067, Debra Graham], [9416, Paula], [4233, Hallie]]
2121;Kim Delaney;1961-11-29;[[2067, Maggie McConnell]]
2122;Kiersten Warren;1970-01-01;[[2277, Galatea], [18276, Mrs. Eberhardt]]
2123;Bradley Whitford;1959-10-10;[[2277, Lloyd Charney], [11232, J.J. Camden], [17795, Carl Witnaur], [140823, Don DaGradi], [22970, Steve Hadley], [10731, Thomas Fink], [9779, Al Lowell]]
2124;Lindze Letherman;1970-01-01;[[2277, ""'Miss' Grace Martin - Age 9""], [15028, Kelly Gibbs]]
2125;Angela Landis;1970-01-01;[[2277, ""'Miss' Grace Martin""]]
2126;Anne Heche;1969-05-25;[[10740, Clara], [312113, Barbara], [52067, Joan Ostrowski-Fox], [9366, Maggie Pistone], [3597, Melissa Egan], [8470, Rebecca Payne], [6068, Robin Monroe], [34723, Mary Jane Wilks], [9623, Juliet], [10357, Dr. Amy Barnes], [586, Winifred Ames], [49963, Laura], [265208, Roxy]]
2127;Gaby Hoffmann;1982-01-08;[[248774, Nellie], [10357, Kelly Roark], [228970, Aimee], [14295, Sheila]]
2128;Joshua Fardon;1970-01-01;[[10357, Medic]]
2129;Jacqueline Kim;1970-01-01;[[17707, Yon Greene], [8984, Cindy Chang], [10357, Dr. Jaye Calder]]
2130;John Corbett;1961-05-09;[[8346, Ian Miller], [302688, Ian Miller], [4599, Pastor Dan Parker], [38843, Robert Quimby], [241251, Garrett Peterson], [10357, Norman Calder]]
2131;John Carroll Lynch;1963-08-01;[[9683, Mr. Livingston], [20483, Mr. Hartman], [754, Walt], [4970, Sheriff Ryan], [13223, Barber Martin], [44835, Larry], [268920, Captain Emmett], [25643, Walter], [339984, Pastor Scott], [39513, Moses Buggs], [11324, Deputy Warden McPherson], [9962, Jack Field, Your Store Manager], [3877, Howard Glassman], [10357, Stan Olber], [1949, Arthur Leigh Allen]]
2132;Margaret Colin;1970-01-01;[[46989, Diane], [602, Constance Spano], [4477, ""Sheila O'Meara""], [35219, Lana Cobb], [12154, Rebecca]]
2133;Rubn Blades;1948-07-16;[[21355, Don Hector de la Rocha y Villarreal], [32274, Diego Rivera], [96399, Prsident Calles], [184341, Carlos Eleta], [169, Danny Archuleta], [4477, Edwin Diaz]]
2134;Treat Williams;1951-12-01;[[44115, Larry Ralston], [11519, ""Cpl. Chuck 'Stretch' Sitarski""], [97614, Becker], [9457, John Finnegan], [9689, Hal], [10040, FBI Asst. Director Walter Collins], [311, ""James Conway O'Donnell""], [30943, Pat Cappadora], [4477, Billy Burke], [9826, Xander Drax], [45226, D.B. Cooper], [400, Critical Bill], [9029, Jack Fuller Sr.]]
2135;George Hearn;1970-01-01;[[4477, Peter Fitzsimmons]]
2136;Mitchell Ryan;1934-01-11;[[9434, Mr. Bart Newberry], [10987, Dr. Terence Wynn], [11901, Dave Drake], [1624, Mr. Allan], [4477, Chief Jim Kelly]]
2137;Natascha McElhone;1969-12-14;[[31932, Sophie], [9544, Terry Huston], [374461, Marie Brooks], [8195, Deirdre], [112430, Elizabet Nemeth], [4477, Megan Doherty], [37165, Lauren / Sylvia]]
2138;Paul Ronan;1970-01-01;[[4477, Sean Phelan], [10629, Jimmy Guerin]]
2139;Simon Jones;1970-01-01;[[4477, Harry Sloan]]
2140;Joss Ackland;1970-01-01;[[1649, De Nomolos], [8665, Marshal Zelentsov], [10413, Franklin Hale], [1669, Ambassador Andrei Lysenko], [10414, Hans]]
2141;Donald Sumpter;1970-01-01;[[2252, Yuri], [8665, Dr. Savran], [1985, Tim Donohue], [52010, Pythol (voice)]]
2142;Tim Woodward;1970-01-01;[[8665, Partonov]]
2143;George Anton;1970-01-01;[[8665, Konstantin]]
